plant symbol,plant scientific name,plant common name,native states (separated by '*'),duration,growth habit,growth period,growth rate,moisture use,adapted to coarse soil,adapted to fine soil,adapted to medium soil,drought tolerance,shade tolerance,temp min (�F),foliage color,flower conspicuous,flower color,bloom period
ABGR4,Abelia �grandiflora,glossy abelia,North Carolina*Florida*,Perennial*,Shrub*,Spring*Summer*,Rapid,Medium,Yes,No,Yes,Medium,Tolerant,-13,Dark Green,Yes,Purple,Late Summer
ABAM,Abies amabilis,Pacific silver fir,Alaska*California*Oregon*Washington*British Columbia*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,Yes,Yes,Low,Tolerant,-28,Gray-Green,No,Yellow,Late Spring
ABBA,Abies balsamea,balsam fir,Maine*New Jersey*New Brunswick*Nova Scotia*Massachusetts*Newfoundland*Prince Edward Island*West Virginia*Quebec*Minnesota*Alberta*Saskatchewan*Virginia*Ohio*Connecticut*Pennsylvania*Maryland*New Hampshire*New York*Ontario*Manitoba*Vermont*Indiana*Iowa*Michigan*Wisconsin*Labrador*Rhode Island*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,Yes,Yes,Low,Tolerant,-43,Green,No,Yellow,Mid Summer
ABCO,Abies concolor,white fir,Maine*Utah*Nevada*Wyoming*New Mexico*Massachusetts*Oregon*Colorado*Idaho*Arizona*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Medium,Intermediate,-38,Green,No,Red,Late Spring
ABFR,Abies fraseri,Fraser fir,Tennessee*North Carolina*Georgia*Virginia*,Perennial*,Tree*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Low,Tolerant,-23,Dark Green,No,Purple,Mid Spring
ABGR,Abies grandis,grand fir,Montana*California*Oregon*Washington*Idaho*British Columbia*,Perennial*,Tree*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Medium,Tolerant,-33,Green,No,Purple,Late Spring
ABLA,Abies lasiocarpa,subalpine fir,Northwest Territories*Utah*Alaska*Yukon*Nevada*Wyoming*Montana*New Mexico*California*Alberta*Oregon*Washington*Colorado*Idaho*British Columbia*Arizona*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Low,Tolerant,-51,Green,No,Purple,Late Spring
ABMA,Abies magnifica,California red fir,California*Nevada*Oregon*New York*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Low,Tolerant,-23,Dark Green,No,Brown,Late Spring
ABMAS,Abies magnifica,Shasta red fir,California*Oregon*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Low,Intermediate,-23,Dark Green,No,Brown,Mid Spring
ABSH,Abies magnifica,Shasta red fir,California*Oregon*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Low,Intermediate,-23,Dark Green,No,Brown,Mid Spring
ABPR,Abies procera,noble fir,California*Oregon*Washington*,Perennial*,Tree*,Spring*Summer*,Rapid,Low,Yes,No,Yes,Low,Intermediate,-23,Dark Green,No,Brown,Late Spring
ACCY2,Acacia cyclops,coastal wattle,California*,Perennial*,Shrub*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,High,Intolerant,14,Dark Green,Yes,Yellow,Mid Spring
ACKO,Acacia koa,koa,Hawaii*,Perennial*,Tree*,Year Round*,Moderate,Medium,Yes,Yes,Yes,Medium,Intolerant,31,Green,No,Yellow,Spring
ACKO2,Acacia koaia,koaoha,Hawaii*,Perennial*,Tree*,Year Round*,Rapid,Medium,Yes,No,Yes,Low,Intolerant,25,Green,Yes,Yellow,Early Spring
ACLO,Acacia longifolia,Sydney golden wattle,California*,Perennial*,Shrub*Tree*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,High,Intolerant,14,Green,Yes,Yellow,Summer
ACME,Acacia melanoxylon,blackwood,California*Hawaii*,Perennial*,Tree*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,High,Intolerant,14,Dark Green,Yes,White,Early Spring
ACVI,Acalypha virginica,Virginia threeseed mercury,Maine*New Jersey*North Carolina*Massachusetts*South Dakota*Missouri*Texas*Kansas*Delaware*West Virginia*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Nebraska*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Georgia*Oklahoma*Arkansas*Vermont*Indiana*Iowa*Michigan*Tennessee*Alabama*Louisiana*Rhode Island*South Carolina*,Annual*,Forb/herb*,Spring*Summer*Fall*,Rapid,Medium,No,No,Yes,Medium,Intermediate,33,Green,Yes,Red,Early Summer
ACCI,Acer circinatum,vine maple,Alaska*California*Oregon*Washington*British Columbia*,Perennial*,Shrub*Tree*Vine*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,Low,Tolerant,-13,Green,Yes,Green,Spring
ACFL,Acer floridanum,southern sugar maple,Oklahoma*Arkansas*North Carolina*Tennessee*Alabama*Virginia*Mississippi*Kentucky*Missouri*Louisiana*Texas*Illinois*Georgia*South Carolina*Florida*,Perennial*,Tree*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Low,Tolerant,-18,Green,No,Yellow,Mid Spring
ACBA3,Acer floridanum,southern sugar maple,Oklahoma*Arkansas*North Carolina*Tennessee*Alabama*Virginia*Mississippi*Kentucky*Missouri*Louisiana*Texas*Illinois*Georgia*South Carolina*Florida*,Perennial*,Tree*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Low,Tolerant,-18,Green,No,Yellow,Mid Spring
ACGI,Acer ginnala,Amur maple,Maine*New Jersey*New Brunswick*Massachusetts*Minnesota*Saskatchewan*Illinois*Ohio*Connecticut*Pennsylvania*New Hampshire*New York*Kentucky*Ontario*Manitoba*North Dakota*Vermont*Iowa*Michigan*Wisconsin*,Perennial*,Shrub*Tree*,Spring*Summer*,Rapid,Medium,Yes,No,Yes,Low,Intermediate,-38,Green,No,White,Mid Spring
ACGL,Acer glabrum,Rocky Mountain maple,Utah*Alaska*Nevada*Wyoming*Nebraska*Montana*New Mexico*California*Alberta*Oregon*South Dakota*Washington*Colorado*Idaho*British Columbia*Arizona*,Perennial*,Shrub*Tree*,Spring*Summer*,Rapid,Low,Yes,No,Yes,Medium,Intermediate,-43,Green,No,Green,Late Spring
ACGLD4,Acer glabrum,Douglas maple,Alaska*Nevada*Wyoming*Montana*California*Alberta*Oregon*Washington*Idaho*British Columbia*,Perennial*,Shrub*Tree*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Low,Tolerant,-13,Green,No,Green,Late Spring
ACGR3,Acer grandidentatum,bigtooth maple,Utah*Nevada*Wyoming*Montana*New Mexico*Washington*Colorado*Texas*Idaho*Arizona*,Perennial*,Shrub*Tree*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,Low,Intermediate,-31,Green,Yes,Yellow,Spring
ACMA3,Acer macrophyllum,bigleaf maple,California*Oregon*British Columbia*Washington*,Perennial*,Tree*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,Low,Intermediate,-14,Green,No,Yellow,Mid Spring
ACNE2,Acer negundo,boxelder,Maine*New Jersey*Northwest Territories*New Brunswick*North Carolina*Nova Scotia*California*Massachusetts*South Dakota*Washington*Colorado*Missouri*Texas*Kansas*Delaware*Prince Edward Island*West Virginia*Nevada*Quebec*Minnesota*Alberta*Saskatchewan*Virginia*Illinois*British Columbia*Ohio*Utah*Connecticut*Pennsylvania*Nebraska*New Mexico*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Ontario*Arizona*Florida*Georgia*Oklahoma*Manitoba*Arkansas*North Dakota*Wyoming*Montana*Indiana*Iowa*Michigan*Oregon*Tennessee*Alabama*Vermont*Wisconsin*Idaho*Louisiana*Rhode Island*South Carolina*,Perennial*,Tree*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,High,Tolerant,-46,Green,No,White,Early Spring
ACNI5,Acer nigrum,black maple,New Jersey*North Carolina*Massachusetts*South Dakota*Missouri*Kansas*Delaware*West Virginia*Quebec*Minnesota*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*New Hampshire*Maryland*District of Columbia*New York*Kentucky*Georgia*Ontario*Arkansas*Vermont*Indiana*Iowa*Michigan*Tennessee*Wisconsin*Alabama*,Perennial*,Tree*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,Medium,Tolerant,-47,Green,No,Yellow,Late Spring
ACPE,Acer pensylvanicum,striped maple,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*Massachusetts*Prince Edward Island*West Virginia*Quebec*Minnesota*Virginia*Ohio*Connecticut*Pennsylvania*Maryland*New Hampshire*New York*Kentucky*Georgia*Ontario*Vermont*Michigan*Tennessee*Wisconsin*South Carolina*Rhode Island*,Perennial*,Shrub*Tree*,Spring*Summer*,Slow,Low,Yes,No,Yes,Low,Tolerant,-47,Green,No,Yellow,Late Spring
ACPL,Acer platanoides,Norway maple,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*Massachusetts*Washington*Delaware*Prince Edward Island*West Virginia*Quebec*Minnesota*Virginia*Illinois*British Columbia*Ohio*Connecticut*Pennsylvania*Maryland*New Hampshire*District of Columbia*New York*Kentucky*Ontario*Montana*Indiana*Michigan*Vermont*Oregon*Tennessee*Wisconsin*Idaho*Rhode Island*,Perennial*,Tree*,Spring*Summer*,Rapid,Medium,No,No,Yes,Low,Intermediate,-28,Green,No,Green,Early Spring
ACPS,Acer pseudoplatanus,sycamore maple,Maine*New Jersey*Connecticut*New Brunswick*Rhode Island*North Carolina*Nova Scotia*Pennsylvania*Maryland*Ontario*District of Columbia*Massachusetts*Michigan*New York*Kentucky*Illinois*British Columbia*Delaware*,Perennial*,Tree*,Spring*Summer*,Moderate,Medium,No,Yes,Yes,Medium,Intolerant,-23,Yellow-Green,No,Green,Late Spring
ACRU,Acer rubrum,red maple,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*Massachusetts*Missouri*Texas*Newfoundland*Delaware*Prince Edward Island*West Virginia*Quebec*Minnesota*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Georgia*Ontario*Florida*Oklahoma*Arkansas*Vermont*Indiana*Iowa*Michigan*Oregon*Tennessee*Alabama*Wisconsin*Louisiana*Rhode Island*South Carolina*,Perennial*,Tree*,Spring*Summer*,Rapid,High,Yes,Yes,Yes,Medium,Intermediate,-47,Green,Yes,Red,Early Spring
ACSA2,Acer saccharinum,silver maple,Maine*New Jersey*New Brunswick*North Carolina*California*Massachusetts*South Dakota*Washington*Missouri*Texas*Kansas*Delaware*West Virginia*Quebec*Minnesota*Saskatchewan*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Nebraska*New Mexico*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Georgia*Ontario*Florida*Oklahoma*Arkansas*North Dakota*Vermont*Indiana*Iowa*Michigan*Tennessee*Wisconsin*Alabama*Louisiana*Rhode Island*South Carolina*,Perennial*,Tree*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,Low,Intermediate,-47,Green,Yes,Yellow,Early Spring
